,,,
,,,
,,,
,,,
SERVERS,price,qty,total
http://www.dell.com/us/business/p/poweredge-r720/fs,"$1,300.00",7,"$9,100.00"
http://www.amazon.com/Thecus-N8810UG-8-Bay-2U-Rackmount/dp/B00I3RRHKI/ref=sr_1_1?ie=UTF8&qid=1418336200&sr=8-1&keywords=Thecus+N8810U-G,"$1,800.00",12,"$21,600.00"
http://www.broadberry.co.uk/nexenta-storage-servers/cyberstore-436s-zfs,"$34,000.00",4,"$136,000.00"
http://www-03.ibm.com/systems/uk/x/hardware/enterprise/x3950x6/index.html,"$100,000.00",2,"$200,000.00"
,,,$0.00
WORK STATIONS,,,$0.00
http://www.dell.com/uk/business/p/precision-t5810-workstation/pd,"$1,062.00",150,"$159,300.00"
CyberStation 1150 Enhanced Office Workstation,$300.00,150,"$45,000.00"
http://www.microsoft.com/surface/en-gb/products/surface-pro-3,$639.00,144,"$92,016.00"
http://www.dell.com/uk/business/p/optiplex-3020m-desktop/pd?oc=ca005d3020m11\&model\_id=optiplex-3020m-desktop,$420.00,1000,"$420,000.00"
,,,
,,,"$1,224,006.00"
